wfuzz -u http://10.129.28.172/ -H "Host: FUZZ" -w /usr/share/wordlists/SecLists/Discovery/DNS/subdomains-top1million-20000.txt --hw 1222
 /usr/lib/python3/dist-packages/wfuzz/__init__.py:34: UserWarning:Pycurl is not compiled against Openssl. Wfuzz might not work correctly when fuzzing SSL sites. Check Wfuzz's documentation for more information.
********************************************************
* Wfuzz 3.1.0 - The Web Fuzzer                         *
********************************************************

Target: http://10.129.28.172/
Total requests: 19966

=====================================================================
ID           Response   Lines    Word       Chars       Payload                                                                                     
=====================================================================

000000654:   400        12 L     53 W       422 Ch      "1"                                                                                         
000000676:   400        12 L     53 W       422 Ch      "11192521404255"                                                                            
000000689:   400        12 L     53 W       422 Ch      "gc._msdcs"                                                                                 
000000679:   400        12 L     53 W       422 Ch      "11192521403954"                                                                            
000000844:   400        12 L     53 W       422 Ch      "2"                                                                                         
000000867:   400        12 L     53 W       422 Ch      "11285521401250"                                                                            
000000996:   400        12 L     53 W       422 Ch      "2012"                                                                                      
000001095:   400        12 L     53 W       422 Ch      "11290521402560"                                                                            
000001143:   400        12 L     53 W       422 Ch      "123"                                                                                       
000001389:   400        12 L     53 W       422 Ch      "2011"                                                                                      
000001425:   400        12 L     53 W       422 Ch      "3"                                                                                         
000001648:   400        12 L     53 W       422 Ch      "4"                                                                                         
000001744:   400        12 L     53 W       422 Ch      "2013"                                                                                      
000001857:   400        12 L     53 W       422 Ch      "2010"                                                                                      
000002105:   400        12 L     53 W       422 Ch      "911"                                                                                       
000002150:   400        12 L     53 W       422 Ch      "11"                                                                                        
000002492:   400        12 L     53 W       422 Ch      "24"                                                                                        
000002496:   400        12 L     53 W       422 Ch      "10"                                                                                        
000002587:   400        12 L     53 W       422 Ch      "7"                                                                                         
000002634:   400        12 L     53 W       422 Ch      "99"                                                                                        
000002661:   400        12 L     53 W       422 Ch      "2009"                                                                                      
000002706:   400        12 L     53 W       422 Ch      "www.1"                                                                                     
000002943:   400        12 L     53 W       422 Ch      "50"                                                                                        
000003063:   400        12 L     53 W       422 Ch      "12"                                                                                        
000003520:   400        12 L     53 W       422 Ch      "20"                                                                                        
000003533:   400        12 L     53 W       422 Ch      "2008"                                                                                      
000003604:   400        12 L     53 W       422 Ch      "25"                                                                                        
000003644:   400        12 L     53 W       422 Ch      "15"                                                                                        
000003647:   400        12 L     53 W       422 Ch      "5"                                                                                         
000003671:   400        12 L     53 W       422 Ch      "www.2"                                                                                     
000003882:   400        12 L     53 W       422 Ch      "13"                                                                                        
000004144:   400        12 L     53 W       422 Ch      "100"                                                                                       
000004263:   400        12 L     53 W       422 Ch      "44"                                                                                        
000004428:   400        12 L     53 W       422 Ch      "54"                                                                                        
000004519:   400        12 L     53 W       422 Ch      "9"                                                                                         
000004549:   400        12 L     53 W       422 Ch      "70"                                                                                        
000004628:   400        12 L     53 W       422 Ch      "01"                                                                                        
000004663:   400        12 L     53 W       422 Ch      "16"                                                                                        
000004762:   400        12 L     53 W       422 Ch      "39"                                                                                        
000004837:   400        12 L     53 W       422 Ch      "6"                                                                                         
000004909:   400        12 L     53 W       422 Ch      "www.123"                                                                                   
000005009:   400        12 L     53 W       422 Ch      "88"                                                                                        
