table_catalog	table_schema	table_name
carsdb 	pg_catalog 	pg_shdescription
carsdb 	pg_catalog 	pg_attribute
carsdb 	pg_catalog 	pg_stat_sys_indexes
carsdb 	pg_catalog 	pg_statio_sys_indexes
carsdb 	information_schema 	column_options
carsdb 	information_schema 	user_defined_types
carsdb 	pg_catalog 	pg_publication_rel
carsdb 	pg_catalog 	pg_available_extension_versions
carsdb 	information_schema 	user_mapping_options
carsdb 	pg_catalog 	pg_indexes
carsdb 	pg_catalog 	pg_ts_config
carsdb 	information_schema 	_pg_foreign_data_wrappers
carsdb 	pg_catalog 	pg_authid
carsdb 	pg_catalog 	pg_rules
carsdb 	pg_catalog 	pg_shseclabel
carsdb 	pg_catalog 	pg_aggregate
carsdb 	information_schema 	foreign_server_options
carsdb 	information_schema 	character_sets
carsdb 	pg_catalog 	pg_type
carsdb 	information_schema 	triggers
carsdb 	pg_catalog 	pg_statistic_ext
carsdb 	information_schema 	administrable_role_authorizations
carsdb 	pg_catalog 	pg_trigger
carsdb 	information_schema 	role_table_grants
carsdb 	pg_catalog 	pg_namespace
carsdb 	pg_catalog 	pg_stat_database
carsdb 	information_schema 	role_routine_grants
carsdb 	pg_catalog 	pg_ts_parser
carsdb 	pg_catalog 	pg_roles
carsdb 	information_schema 	domain_udt_usage
carsdb 	pg_catalog 	pg_inherits
carsdb 	pg_catalog 	pg_foreign_data_wrapper
carsdb 	pg_catalog 	pg_prepared_statements
carsdb 	pg_catalog 	pg_class
carsdb 	pg_catalog 	pg_amproc
carsdb 	information_schema 	domains
carsdb 	pg_catalog 	pg_ts_config_map
carsdb 	pg_catalog 	pg_rewrite
carsdb 	pg_catalog 	pg_stat_progress_vacuum
carsdb 	information_schema 	sql_sizing
carsdb 	information_schema 	column_privileges
carsdb 	pg_catalog 	pg_stat_xact_user_functions
carsdb 	information_schema 	foreign_table_options
carsdb 	pg_catalog 	pg_stat_subscription
carsdb 	pg_catalog 	pg_transform
carsdb 	information_schema 	_pg_user_mappings
carsdb 	information_schema 	parameters
carsdb 	pg_catalog 	pg_stat_activity
carsdb 	pg_catalog 	pg_stat_database_conflicts
carsdb 	pg_catalog 	pg_default_acl
carsdb 	information_schema 	sequences
carsdb 	pg_catalog 	pg_database
carsdb 	pg_catalog 	pg_timezone_abbrevs
carsdb 	information_schema 	foreign_servers
carsdb 	pg_catalog 	pg_statio_all_sequences
carsdb 	pg_catalog 	pg_constraint
carsdb 	pg_catalog 	pg_config
carsdb 	pg_catalog 	pg_enum
carsdb 	information_schema 	constraint_table_usage
carsdb 	information_schema 	role_column_grants
carsdb 	pg_catalog 	pg_sequences
carsdb 	pg_catalog 	pg_seclabel
carsdb 	information_schema 	constraint_column_usage
carsdb 	information_schema 	user_mappings
carsdb 	information_schema 	transforms
carsdb 	pg_catalog 	pg_tables
carsdb 	pg_catalog 	pg_statio_user_tables
carsdb 	pg_catalog 	pg_stat_user_tables
carsdb 	information_schema 	sql_implementation_info
carsdb 	pg_catalog 	pg_replication_slots
carsdb 	pg_catalog 	pg_stat_xact_all_tables
carsdb 	information_schema 	views
carsdb 	pg_catalog 	pg_largeobject
carsdb 	pg_catalog 	pg_user_mappings
carsdb 	pg_catalog 	pg_publication
carsdb 	pg_catalog 	pg_settings
carsdb 	information_schema 	data_type_privileges
carsdb 	information_schema 	view_table_usage
carsdb 	pg_catalog 	pg_group
carsdb 	pg_catalog 	pg_tablespace
carsdb 	information_schema 	collations
carsdb 	pg_catalog 	pg_hba_file_rules
carsdb 	information_schema 	check_constraints
carsdb 	pg_catalog 	pg_statio_all_indexes
carsdb 	information_schema 	schemata
carsdb 	information_schema 	column_domain_usage
carsdb 	public 	cars
carsdb 	information_schema 	domain_constraints
carsdb 	pg_catalog 	pg_locks
carsdb 	information_schema 	foreign_tables
carsdb 	information_schema 	role_udt_grants
carsdb 	pg_catalog 	pg_statio_all_tables
carsdb 	pg_catalog 	pg_user
carsdb 	information_schema 	_pg_foreign_table_columns
carsdb 	pg_catalog 	pg_stat_ssl
carsdb 	pg_catalog 	pg_event_trigger
carsdb 	pg_catalog 	pg_matviews
carsdb 	pg_catalog 	pg_ts_dict
carsdb 	information_schema 	columns
carsdb 	information_schema 	column_udt_usage
carsdb 	pg_catalog 	pg_pltemplate
carsdb 	pg_catalog 	pg_stat_archiver
carsdb 	pg_catalog 	pg_stat_xact_sys_tables
carsdb 	information_schema 	triggered_update_columns
carsdb 	information_schema 	routines
carsdb 	pg_catalog 	pg_stat_user_indexes
carsdb 	pg_catalog 	pg_am
carsdb 	pg_catalog 	pg_stat_all_tables
carsdb 	pg_catalog 	pg_opclass
carsdb 	pg_catalog 	pg_partitioned_table
carsdb 	pg_catalog 	pg_stat_replication
carsdb 	pg_catalog 	pg_opfamily
carsdb 	information_schema 	routine_privileges
carsdb 	pg_catalog 	pg_shadow
carsdb 	pg_catalog 	pg_seclabels
carsdb 	information_schema 	check_constraint_routine_usage
carsdb 	pg_catalog 	pg_replication_origin
carsdb 	pg_catalog 	pg_sequence
carsdb 	information_schema 	_pg_foreign_servers
carsdb 	information_schema 	sql_languages
carsdb 	pg_catalog 	pg_largeobject_metadata
carsdb 	pg_catalog 	pg_language
carsdb 	information_schema 	role_usage_grants
carsdb 	pg_catalog 	pg_auth_members
carsdb 	pg_catalog 	pg_available_extensions
carsdb 	pg_catalog 	pg_depend
carsdb 	pg_catalog 	pg_stat_user_functions
carsdb 	information_schema 	sql_sizing_profiles
carsdb 	information_schema 	information_schema_catalog_name
carsdb 	pg_catalog 	pg_file_settings
carsdb 	pg_catalog 	pg_publication_tables
carsdb 	pg_catalog 	pg_init_privs
carsdb 	pg_catalog 	pg_statio_sys_sequences
carsdb 	pg_catalog 	pg_cursors
carsdb 	pg_catalog 	pg_cast
carsdb 	pg_catalog 	pg_range
carsdb 	pg_catalog 	pg_operator
carsdb 	information_schema 	enabled_roles
carsdb 	pg_catalog 	pg_statistic
carsdb 	pg_catalog 	pg_foreign_server
carsdb 	information_schema 	sql_parts
carsdb 	pg_catalog 	pg_index
carsdb 	information_schema 	attributes
carsdb 	pg_catalog 	pg_timezone_names
carsdb 	pg_catalog 	pg_statio_user_sequences
carsdb 	pg_catalog 	pg_description
carsdb 	pg_catalog 	pg_subscription
carsdb 	pg_catalog 	pg_proc
carsdb 	pg_catalog 	pg_stat_bgwriter
carsdb 	pg_catalog 	pg_prepared_xacts
carsdb 	information_schema 	udt_privileges
carsdb 	information_schema 	_pg_foreign_tables
carsdb 	pg_catalog 	pg_statio_sys_tables
carsdb 	pg_catalog 	pg_policies
carsdb 	pg_catalog 	pg_stat_xact_user_tables
carsdb 	information_schema 	view_routine_usage
carsdb 	information_schema 	table_privileges
carsdb 	information_schema 	applicable_roles
carsdb 	information_schema 	key_column_usage
carsdb 	pg_catalog 	pg_stat_sys_tables
carsdb 	pg_catalog 	pg_attrdef
carsdb 	pg_catalog 	pg_user_mapping
carsdb 	pg_catalog 	pg_replication_origin_status
carsdb 	pg_catalog 	pg_amop
carsdb 	pg_catalog 	pg_ts_template
carsdb 	information_schema 	view_column_usage
carsdb 	information_schema 	tables
carsdb 	information_schema 	sql_packages
carsdb 	pg_catalog 	pg_db_role_setting
carsdb 	pg_catalog 	pg_foreign_table
carsdb 	pg_catalog 	pg_subscription_rel
carsdb 	pg_catalog 	pg_collation
carsdb 	pg_catalog 	pg_statio_user_indexes
carsdb 	information_schema 	table_constraints
carsdb 	information_schema 	referential_constraints
carsdb 	information_schema 	usage_privileges
carsdb 	pg_catalog 	pg_stat_wal_receiver
carsdb 	information_schema 	sql_features
carsdb 	information_schema 	foreign_data_wrappers
carsdb 	information_schema 	element_types
carsdb 	pg_catalog 	pg_extension
carsdb 	pg_catalog 	pg_conversion
carsdb 	pg_catalog 	pg_shdepend
carsdb 	information_schema 	collation_character_set_applicability
carsdb 	information_schema 	foreign_data_wrapper_options
carsdb 	pg_catalog 	pg_stat_all_indexes
carsdb 	pg_catalog 	pg_stats
carsdb 	pg_catalog 	pg_views
carsdb 	pg_catalog 	pg_policy
